Spoken form, Cursorless identifier
floor, scrollToBottom
break point, toggleLineBreakpoint
bring, replaceWithTarget
place call, callAsFunction
excise, cutToClipboard
center, scrollToCenter
change, clearAndSetSelection
chuck|clear, remove
clone, insertCopyAfter
clone up, insertCopyBefore
comment, toggleLineComment
copy, copyToClipboard
crown, scrollToTop
dedent, outdentLine
define, revealDefinition
drink, editNewLineBefore
drop, insertEmptyLineBefore
extract, extractVariable
float, insertEmptyLineAfter
fold, foldRegion
follow, followLink
format, applyFormatter
give, deselect
highlight, highlight
hover, showHover
indent, indentLine
inspect, showDebugHover
move, moveToTarget
paste, pasteFromClipboard
telephone, nextHomophone
post, setSelectionAfter
pour, editNewLineAfter
pre, setSelectionBefore
puff, insertEmptyLinesAround
quick fix, showQuickFix
reference, showReferences
rename, rename
repack, rewrap
reverse, reverseTargets
scout, findInDocument
scout all, findInWorkspace
shuffle, randomizeTargets
snippet, insertSnippet
snippet make, generateSnippet
-arrange, sortTargets
swap, swapTargets
take, setSelection
type deaf, revealTypeDefinition
unfold, unfoldRegion
wrap, wrapWithPairedDelimiter


# 2024-01-19 14:27:00 - New entries automatically added by cursorless
break, breakLine
join, joinLines

# 2024-03-27 15:20:28 - New entries automatically added by cursorless
decrement, decrement
increment, increment

# 2024-07-11 13:48:09 - New entries automatically added by cursorless
follow split, followLinkAside
