Spoken form, Cursorless identifier
blue, blue
green, green
pink, pink
red, red
gold, yellow


# 2023-02-14 17:49:10 - New entries automatically added by cursorless
ex, ex
fox, fox

# 2023-02-23 13:37:38 - New entries automatically added by cursorless
bolt, bolt

# 2023-03-01 10:03:37 - New entries automatically added by cursorless
cross, crosshairs

# 2023-03-01 10:03:48 - New entries automatically added by cursorless
frame, frame

# 2023-03-01 10:03:55 - New entries automatically added by cursorless
curve, curve

# 2023-03-08 11:13:46 - New entries automatically added by cursorless
navy, userColor1

# 2023-03-08 11:15:13 - New entries automatically added by cursorless
sky, userColor2

# 2023-03-08 11:16:31 - New entries automatically added by cursorless
eye, eye

# 2023-03-08 11:16:50 - New entries automatically added by cursorless
wing, wing

# 2023-03-08 11:16:54 - New entries automatically added by cursorless
hole, hole

# 2023-03-08 11:17:01 - New entries automatically added by cursorless
play, play
