Spoken form, Cursorless identifier
-five section, sectionLevelFive
-four section, sectionLevelFour
-one section, sectionLevelOne
-six section, sectionLevelSix
-three section, sectionLevelThree
-two section, sectionLevelTwo
arg, argumentOrParameter
attribute, attribute
block, paragraph
branch, branch
holler, functionCall
-callee, functionCallee
-cell, notebookCell
chapter, chapter
char, character
class, class
class name, className
comment, comment
condition, condition
element, xmlElement
end tag, xmlEndTag
environment, environment
file, document
funk, namedFunction
funk name, functionName
identifier, identifier
if state, ifStatement
item, collectionItem
key, collectionKey
lambda, anonymousFunction
line, line
link, url
collection, list
map, map
name, name
paint, nonWhitespaceSequence
-paragraph, namedParagraph
-part, part
regex, regularExpression
-section, section
-selector, selector
short paint, boundedNonWhitespaceSequence
start tag, xmlStartTag
state, statement
string, string
-subparagraph, subParagraph
-subsection, subSection
-subsubsection, subSubSection
tags, xmlBothTags
token, token
type, type
einheit, unit
value, value
word, word


# 2023-05-26 13:19:49 - New entries automatically added by cursorless
view, instance


# 2023-07-16 17:23:40 - New entries automatically added by cursorless
sentence, sentence
